Q;L;nC;rC;frI;nY;rY;rYds;repo;pop;wc;sf
2003K1;1751;307661;357330;168062;648160;788054;794430;3,7137;5688,1;248897;46125
2003K2;1735;307056;358109;164776;678168;809101;791217;3,3898;5697,1;263212;49051
2003K3;1728;312574;362476;166429;647408;744620;801861;2,7727;5706,3;262619;48892
2003K4;1736;315398;364159;168818;703710;844087;806953;2,75;5714,3;258321;48608
2004K1;1739;319210;368479;168928;671749;816164;819166;2,6071;5721,9;255786;49152
2004K2;1735;319064;366946;173154;715645;848371;825189;2,0333;5730,5;270265;52744
2004K3;1727;322251;370976;177609;679421;773964;832263;2;5740;268207;52493
2004K4;1722;324391;372998;182244;738300;885009;839041;2;5748,7;265553;52056
2005K1;1726;327416;375433;179879;687408;828540;840314;2;5755,4;262004;51892
2005K2;1737;331752;377456;183973;745400;881628;848811;1,9516;5764,2;279725;52421
2005K3;1733;336811;382641;188943;703916;797788;857034;1,5;5773,5;277742;53010
2005K4;1742;338870;384625;185361;770628;909219;862717;1,5;5785,2;278920;53281
2006K1;1751;340793;385213;193039;740633;878677;879463;1,7773;5801,2;275666;52742
2006K2;1756;345876;390305;202567;788634;911528;889865;2,0297;5820,7;294732;51915
2006K3;1777;349042;391030;204320;749423;836110;901491;2,3192;5833,7;293860;54890
2006K4;1786;352880;396036;208803;820391;951061;906662;2,6865;5846,7;294460;53897
2007K1;1806;356735;398816;215773;789807;912568;914259;3,1094;5857,9;295496;59060
2007K2;1821;362217;401973;218205;839870;943895;921201;3,2627;5870,2;313107;60071
2007K3;1831;368914;408834;217655;791786;861100;928195;3,55;5880,8;312423;60062
2007K4;1852;375085;413415;224165;875590;981621;940298;3,9113;5893,2;316665;62184
2008K1;1839;375667;409124;224985;818687;917158;927593;4,1089;5908,3;315767;59524
2008K2;1861;378350;408846;220317;878011;966761;929125;4,25;5917,5;334941;61946
2008K3;1831;379346;406160;217478;826154;864297;927397;4,5341;5925;330291;61225
2008K4;1826;377835;401776;215890;864747;930362;892992;3,6532;5941,7;325464;62845
2009K1;1808;380420;403133;192916;791874;860781;870307;1,5161;5948,8;320064;58859
2009K2;1785;386771;408436;190023;842642;898736;870747;0,6083;5956,1;334223;61999
2009K3;1794;389985;409671;188138;795018;813130;871455;0,2689;5965,1;329414;60956
2009K4;1785;393527;410662;190721;858975;915210;876581;0,25;5978,1;323829;62904
2010K1;1803;403752;419997;188329;825447;886659;897085;0,25;5983;322638;60383
2010K2;1821;404138;420102;196898;895665;951190;916494;0,25;5986,5;341838;63796
2010K3;1843;409996;425440;207801;857318;868331;928479;0,5492;5989,7;340536;63475
2010K4;1846;415366;427925;211316;941564;990562;945595;0,9531;5999,8;343417;64520
2011K1;1860;419301;429245;207283;879875;937002;944145;1,377;6002;340692;66949
2011K2;1870;424200;433323;218088;937400;978118;947024;1,6833;6003,4;363069;67453
2011K3;1863;424098;431532;216456;894565;895895;956517;1,9886;6006,5;361835;67479
2011K4;1863;423707;430890;209525;944737;984223;940827;1,9727;6010,1;357704;67628
2012K1;1881;425763;433186;218358;889195;940864;943569;1,6406;6008,5;354257;68251
2012K2;1870;428435;434316;213121;950110;976525;950221;1,5;6007;376620;72063
2012K3;1869;429679;436041;207816;891170;886099;950191;1,45;6010,2;373238;72403
2012K4;1887;431836;437624;213873;954325;980883;946535;1,2298;6014,7;372381;71150
2013K1;1865;435332;439718;210157;905644;945230;956086;1;6014,7;364947;72125
2013K2;1894;436649;441065;211999;960132;983387;952501;1;6015,1;385336;74605
2013K3;1882;442099;445314;218003;914346;898421;960088;1;6018,5;384227;74453
2013K4;1897;445840;447362;218272;989787;1004305;968412;0,9758;6024,1;382528;75083
2014K1;1909;446157;449473;226336;935245;962062;972760;0,75;6027,6;377547;74501
2014K2;1912;453692;453327;228025;1000708;1006138;979280;0,75;6031,9;402075;78042
2014K3;1935;454946;452845;231355;950575;919452;983388;0,2955;6040,4;399362;78164
2014K4;1924;459158;457980;238236;1031671;1030547;993152;0,0806;6050,9;394043;77596
2015K1;1932;463672;460198;241440;986856;990983;1002159;-0,0605;6053,5;394007;81295
2015K2;1934;467132;463090;244615;1061102;1047600;1014502;-0,25;6058,1;420122;85939
2015K3;1942;471615;466021;248511;1009023;957519;1024484;-0,3424;6066,7;416094;85542
2015K4;1946;475731;470126;253504;1098174;1082494;1037881;-0,35;6079;413831;85109
